,count,word
2264,6,professors.
59,6,hold
313,6,harasser.
1724,6,wrong.
1250,6,"also,"
1305,6,safety
3059,6,set
3009,6,abilities.
368,6,knows
3315,6,mine.
757,6,unsure
4462,6,carry
749,6,scared.
3031,6,terrible.
4006,6,raped
361,6,well.
2778,6,role
4978,6,confident
1685,6,silence
742,6,ago.
1941,6,five
22,6,piece
4024,6,receive
1935,6,offer
380,6,lonely
1967,6,avoiding
3596,6,much.
844,6,"her,"
199,6,gained
3952,6,disappointed
298,6,half
1201,6,"people,"
1176,6,ways
412,6,disillusioned
3673,6,white
415,6,director
2274,6,after.
4535,6,whatever
2748,6,following
1602,6,advances
411,6,worse.
3942,6,disorder.
4365,6,consequences
2739,6,reaction
81,6,beginning
79,6,"honestly,"
2478,6,way.
874,6,hear
4115,5,involved
2081,5,"then,"
2742,5,guy.
2849,5,difficult.
2094,5,trapped
2476,5,feminist
3270,5,seriously.
4664,5,supervisor.
2418,5,hit
5775,5,generally
351,5,levels
1128,5,back.
212,5,members
2718,5,described
2066,5,supervisors
1476,5,late
2012,5,age
2090,5,forced
3324,5,contemplated
2668,5,networking
1274,5,times.
286,5,#metoo
3826,5,throughout
2811,5,various
2669,5,currently
2866,5,earlier
448,5,"student,"
1286,5,rage.
2446,5,sort
3189,5,funding
1269,5,power.
1469,5,departmental
3919,5,distrustful
1841,5,mention
1061,5,meant
3836,5,choice
3987,5,name
1313,5,workplace.
2421,5,/
2753,5,lucky
1998,5,hostile
314,5,feared
3423,5,predatory
2433,5,iâ€™d
1854,5,discuss
2029,5,ruin
2044,5,"times,"
2839,5,encounter
4151,5,20
3866,5,world.
4145,5,second-guess
404,5,"behavior,"
3867,5,happen.
469,5,doctoral
1418,5,open
1903,5,worsened
3369,5,academia.
5095,5,(which
1206,5,around.
4156,5,humiliating
1216,5,furious
1339,5,lead
1103,5,among
3854,5,literally
2065,5,supported
1363,5,"school,"
291,5,summer
2398,5,attention.
4147,5,"and,"
2062,5,position.
2439,5,girls
420,5,seemingly
1447,5,inability
1090,5,teach
305,5,wear
3223,5,fault
2789,5,self-esteem.
1983,5,"harasser,"
2521,5,"point,"
1322,5,women's
3970,5,adult
1331,5,difficulty
3890,5,thoughts.
3359,5,off.
4790,5,"anxious,"
2170,5,confidence.
910,5,"all,"
5852,5,report.
2575,5,moderate
917,5,research.
913,5,seeking
3715,5,courses
3513,5,damaging.
905,5,letting
814,5,comes
677,5,protected
3565,5,ate
4502,5,city
3104,5,status
1624,5,professor's
4341,5,assaulted
102,5,hide
828,5,"well,"
1575,5,specifically
657,5,perceived
1572,5,anguish
935,5,reality
654,5,respond
108,5,experiencing.
826,5,bar
650,5,title
647,5,advisors
1638,5,easily
3590,5,looked
2144,5,reminder
3006,5,sure.
4422,5,assistant
2939,5,"place,"
1750,5,friendship
3102,5,confusion
1723,5,better.
878,5,blaming
1615,5,"professor,"
2982,5,delayed
856,5,either
2183,5,"esteem,"
2275,5,conversation
866,5,"support,"
1612,5,"severe,"
854,5,advantage
868,5,student's
2573,5,"oh,"
3087,5,"field,"
706,5,asking
1734,5,say.
78,5,"stressful,"
880,5,i'll
3099,5,accept
4387,5,group.
708,5,deserve
84,5,upsetting.
689,5,"event,"
885,5,initial
1742,5,afterward.
85,5,wrote
3093,5,awkward
2190,5,concern
4389,5,mentors
90,5,taught
5328,5,long-term
3076,5,subject
93,5,5
1769,5,supportive
643,5,good.
6221,5,abnormal...
612,5,"insomnia,"
3621,5,"academia,"
1672,5,to.
1821,5,service
784,5,"out,"
2219,5,short
3600,5,carried
1015,5,moving
2898,5,(this
2606,5,remind
1527,5,feels
2658,5,whose
6220,5,occurrences
2547,5,change
115,5,continuing
997,5,"mentor,"
737,5,reminded
2114,5,shared
1000,5,easier
1807,5,post
3777,5,guys
781,5,resulting
2657,5,learning
1698,5,begin
5280,5,college
568,5,problem
3443,5,happens.
3817,5,trusted
2352,5,finishing
121,5,individual
3447,5,her.
3452,5,counselor
3803,5,stories
1828,5,fairly
2235,5,males
1022,5,though.
590,5,counseling.
2316,5,expressed
8,5,unwelcome
18,5,area
60,4,information
1287,4,slightly
2780,4,slowly
3619,4,per
1682,4,marriage.
1942,4,decide
3953,4,behaviour
1681,4,tremendous
1683,4,filed
3552,4,walked
2457,4,woman.
1905,4,looks
3346,4,hallway
344,4,guess
1310,4,safe.
1925,4,increasing
2578,4,decision
26,4,impossible
2616,4,finish
41,4,emails
3362,4,gender
1728,4,"to,"
1316,4,"person,"
4969,4,capacity
4996,4,behind
2607,4,capable
1924,4,hate
1701,4,repeat
2768,4,prepared
4806,4,drove
2767,4,"minimal,"
328,4,violated
1651,4,idea
350,4,describe
3965,4,behaviour.
322,4,adjunct
3631,4,n/a
3570,4,acted
1660,4,performance
316,4,"way,"
2590,4,entering
3332,4,anyone.
1297,4,huge.
1294,4,regard
3371,4,private
3442,4,keeps
3675,4,impostor
3679,4,stuck
3473,4,depression;
5826,4,convinced
2524,4,protective
148,4,play
225,4,college.
142,4,"nothing,"
1798,4,file
141,4,mean
6781,4,previously
128,4,suspicion
1794,4,navigate
1545,4,state
234,4,harassers
3484,4,hr
2561,4,unsupported
1855,4,trauma.
4870,4,"them,"
1448,4,bring
160,4,worrying
2638,4,heart
4888,4,stand
3815,4,humiliating.
5787,4,depressed.
4801,4,kiss
1827,4,"say,"
5784,4,devastated
2660,4,refusal
3841,4,"situation,"
1457,4,recent
2550,4,man.
3788,4,acute
1507,4,vulnerability
1818,4,final
3466,4,symptoms.
3780,4,group
1848,4,suspect
3849,4,family.
1432,4,damage
1856,4,sadness
2562,4,market
279,4,trigger
3516,4,insomnia
1389,4,space
1882,4,dept
3823,4,badly
1885,4,harm
1382,4,intellectually
5007,4,record
89,4,"year,"
3717,4,friendly
1374,4,creep
3926,4,unrelated
3382,4,gender.
1740,4,prof
3937,4,visit
1361,4,died
292,4,project
3397,4,beyond
2713,4,abused
1429,4,since.
1564,4,line
1428,4,terribly
1426,4,therapists
1425,4,talked
2689,4,wake
6814,4,sexist
5758,4,'too
5755,4,"conferences,"
1567,4,moments
1581,4,complex
1413,4,substantial
1760,4,2016
1866,4,more.
3723,4,clinical
4859,4,helplessness
1576,4,regarding
252,4,attack
4071,4,responsible
5412,4,actively
2177,4,did.
886,4,"response,"
3091,4,"left,"
5185,4,things.
1120,4,"end,"
889,4,"ultimately,"
4702,4,speaking
2975,4,dress
2973,4,met
1116,4,house
4173,4,treat
892,4,verbal
504,4,harder
3240,4,own.
3101,4,putting
1106,4,lasting
2282,4,spoken
903,4,drive
3232,4,kill
3108,4,adviser
2844,4,threw
513,4,institution's
5447,4,fall
2831,4,overreacting.
481,4,one.
836,4,(who
4362,4,predator
719,4,wearing
840,4,suddenly
449,4,barely
4132,4,heal
710,4,me?
2189,4,building.
1155,4,alone.
2021,4,fellow
454,4,ashamed.
3258,4,"alone,"
2269,4,then.
2185,4,uncertainty
459,4,pursue
4375,4,successful
3090,4,fault.
1139,4,cannot
1138,4,attacks.
1136,4,devastating
2176,4,maybe
463,4,frightened
881,4,forget
515,4,motivation
664,4,sexuality
522,4,(it
2289,4,antidepressants
2341,4,"around,"
1026,4,"faculty,"
1024,4,frequent
2894,4,xxxxxâ€™s
5467,4,manipulative
1017,4,finding
5469,4,stalking
2308,4,"office,"
1009,4,itself.
3160,4,"scholar,"
966,4,suicidal.
4588,4,ultimately
3139,4,confront
2924,4,seem
5255,4,valued
1004,4,administration
1003,4,"ways,"
1002,4,traumatic.
995,4,treatment.
3141,4,horrible
4269,4,"events,"
3176,4,touch
2300,4,nightmares.
2101,4,grossed
1060,4,"man,"
5541,4,"conference,"
2290,4,ten
528,4,mentally
6272,4,lowered
2850,4,quality
539,4,extra
540,4,"tenure,"
3198,4,shame.
2851,4,supervision
4325,4,"enough,"
1033,4,"vulnerable,"
4651,4,function
549,4,utterly
1052,4,challenging
554,4,triggering
1046,4,colleague.
941,4,suspicious
565,4,tt
4317,4,meaning
4315,4,education
2411,4,resulted
984,4,dirty
807,4,showed
2254,4,subsequent
2798,4,encouraged
4072,4,degree.
4073,4,greatly
3008,4,skills
4075,4,value
4076,4,episode
1995,4,"lonely,"
817,4,surprised
2805,4,cynical
3272,4,anonymously.
2431,4,awful
818,4,closest
820,4,(my
4090,4,"here,"
3000,4,reduced
2000,4,afterwards
785,4,keeping
5669,4,followed
4427,4,believing
2794,4,placed
383,4,hell
4045,4,married
4046,4,concerns
1976,4,causing
3015,4,committee
1972,4,six
3033,4,reasons
1985,4,leave.
1971,4,lasted
1970,4,ix
5380,4,"guilty,"
6107,4,"others,"
4767,4,"days,"
1226,4,story
763,4,powerful
2001,4,hard.
399,4,immense
2785,4,potentially
3271,4,examples
435,4,meds
3264,4,basis
5674,4,staying
2008,4,"back,"
1273,4,edge
1272,4,stalked
2448,4,illness
2782,4,using
3309,4,process.
4018,4,details
3306,4,cry
425,4,thus
2234,4,straight
1182,4,"overall,"
797,4,"above,"
3300,4,supervisor
1187,4,spending
2808,4,"incidents,"
2232,4,ulterior
2239,4,awful.
6170,3,unpleasant
2915,3,"week,"
2237,3,"result,"
3490,3,contribute
6302,3,depressing
1781,3,"i,"
3016,3,policy
3508,3,please
3020,3,forward.
3028,3,board
1687,3,detrimental
3475,3,limited
3014,3,criticized
2297,3,devalued
2555,3,additional
2629,3,pass
2929,3,tend
3128,3,genuinely
2137,3,everything.
3505,3,ignore
2243,3,retaliation.
2305,3,lawyer
2228,3,fit
2921,3,pounds
2306,3,written
2917,3,pursuing
1774,3,"hours,"
6231,3,injustice
1770,3,"thing,"
1788,3,history
1763,3,"education,"
2938,3,welcoming
3130,3,academic.
2129,3,"weeks,"
2623,3,"helpful,"
2221,3,"professional,"
2184,3,giving
3532,3,cautious
3534,3,negligible
2205,3,manage
2204,3,lose
6248,3,frightening
2118,3,"advisor,"
3089,3,ending
1733,3,episode.
2181,3,"respect,"
5964,3,point.
3069,3,immediate
3078,3,do.
2277,3,"disgust,"
2621,3,attended
1713,3,kick
2993,3,shaming
3574,3,considerable
3573,3,25
3070,3,terror
3071,3,possibly
5948,3,rely
3077,3,okay
2198,3,transferred
3073,3,scary
2276,3,sessions.
2261,3,overwhelming
2251,3,self-confidence.
2568,3,responsibility
3123,3,"media,"
2152,3,insomnia.
2296,3,junior
3602,3,little.
2953,3,nature
2955,3,besides
2589,3,imagining
2154,3,cynicism
2220,3,wonderful
3598,3,atmosphere
3116,3,"capabilities,"
1695,3,completed
2615,3,course.
1696,3,phd.
2212,3,extreme.
2288,3,"suicide,"
2286,3,conversation.
5930,3,strong.
6190,3,frequently.
5983,3,shit
2211,3,leaving.
