,id,tag
491,976,"['wary', 'panic']"
492,977,"['fear', 'guilty', 'upset']"
493,980,['angry']
494,981,"['bad', 'depression']"
495,982,"['depression', 'suicidal']"
496,983,"['anxiety', 'ptsd']"
497,990,"['depression', 'worse']"
498,993,['vulnerable']
499,994,['worried']
500,997,"['anxiety', 'fear']"
501,1000,['disorder']
502,1002,"['anxiety', 'depression', 'sufferring']"
503,1003,['anxiety']
504,1005,['therapy']
505,1007,"['angry', 'doubted']"
506,1008,"['angry', 'angry', 'anxiety', 'anxiety', 'depression', 'depression', 'doubted', 'doubted', 'doubted', 'doubted', 'shame']"
507,1011,"['abusive', 'lost', 'struggling']"
508,1012,"['anxiety', 'anxiety', 'fear', 'fear', 'panic', 'therapy']"
509,1013,"['stressful', 'struggling', 'struggling']"
510,1014,['upset']
511,1015,['angry']
512,1016,['stressful']
513,1017,['unsafe']
514,1019,['doubted']
515,1020,['bad']
516,1022,['wary']
517,1024,"['anxiety', 'anxiety', 'depression', 'depression', 'ptsd']"
518,1025,['therapy']
519,1028,"['bad', 'sad']"
520,1029,"['angry', 'angry']"
521,1035,"['lonely', 'bad', 'stressful', 'worried']"
522,1036,['bad']
523,1037,['doubted']
524,1039,['depression']
525,1040,['worse']
526,1047,['depression']
527,1048,['therapy']
528,1049,"['depression', 'doubted', 'doubted', 'ptsd', 'ptsd', 'doubted', 'doubted']"
529,1051,['anxiety']
530,1055,"['ptsd', 'sufferring', 'sufferring']"
531,1059,"['depression', 'depression']"
532,1061,['anxiety']
533,1062,"['anxiety', 'doubted', 'panic', 'sufferring', 'sufferring']"
534,1063,['fear']
535,1064,['stressful']
536,1065,"['angry', 'angry', 'anxiety']"
537,1066,"['depression', 'depression']"
538,1069,['depression']
539,1072,"['lonely', 'anxiety', 'depression', 'guilty']"
540,1073,"['depression', 'depression']"
541,1074,"['therapy', 'bad', 'fear']"
542,1075,"['depression', 'disorder', 'disorder', 'panic', 'ptsd']"
543,1076,"['upset', 'upset']"
544,1077,"['angry', 'sad']"
545,1079,"['angry', 'angry', 'stressful']"
546,1084,"['fear', 'panic']"
547,1087,['depression']
548,1089,"['fear', 'anxiety', 'lost']"
549,1090,"['angry', 'angry', 'anxiety', 'anxiety', 'panic', 'ptsd', 'ptsd', 'shame', 'shame', 'sufferring', 'sufferring']"
550,1094,['therapy']
551,1100,['stressful']
552,1102,['depression']
553,1103,['vulnerable']
554,1107,"['anxiety', 'stressful']"
555,1109,['stressful']
556,1111,['suicidal']
557,1114,"['anxiety', 'depression', 'depression', 'disorder', 'disorder', 'lonely', 'ptsd', 'ptsd']"
558,1115,"['affected', 'fear', 'suicidal']"
559,1117,"['depression', 'struggling', 'therapy']"
560,1123,"['doubted', 'lonely', 'therapy']"
561,1124,['anxiety']
562,1125,"['anxiety', 'anxiety', 'depression', 'depression', 'suicidal']"
563,1131,"['anxiety', 'anxiety', 'depression', 'stressful', 'therapy']"
564,1132,"['stressful', 'stressful']"
565,1133,"['guilty', 'ptsd', 'ptsd']"
566,1135,['therapy']
567,1140,"['blamed', 'doubted', 'fear']"
568,1142,['lonely']
569,1143,['stressful']
570,1145,['anxiety']
571,1149,"['depression', 'lost', 'bad']"
572,1151,['depression']
573,1152,"['guilty', 'uncomfortable']"
574,1156,"['lonely', 'wary']"
575,1157,"['therapy', 'therapy']"
576,1158,"['fear', 'worried']"
577,1159,"['depression', 'depression', 'shame']"
578,1160,"['depression', 'depression', 'shame']"
579,1161,"['stressful', 'stressful']"
580,1163,"['blamed', 'doubted']"
581,1164,"['abusive', 'shame', 'vulnerable']"
582,1165,"['doubted', 'doubted']"
583,1166,['doubted']
584,1167,"['doubted', 'bad', 'upset']"
585,1168,['depression']
586,1169,"['depression', 'depression', 'therapy', 'therapy']"
587,1170,"['angry', 'doubted']"
588,1171,"['fear', 'lonely']"
589,1173,['uncomfortable']
590,1174,['depression']
591,1180,"['stressful', 'stressful']"
592,1182,['stressful']
593,1183,"['anxiety', 'stressful', 'stressful']"
594,1185,"['angry', 'angry', 'anxiety', 'bad', 'panic', 'ptsd']"
595,1187,['therapy']
596,1188,['angry']
597,1190,"['depression', 'depression']"
598,1193,"['anxiety', 'depression', 'depression', 'stressful']"
599,1200,"['depression', 'stressful', 'struggling', 'wary']"
600,1202,['depression']
601,1203,"['depression', 'ptsd']"
602,1204,['doubted']
603,1209,"['angry', 'angry', 'fear']"
604,1210,['fear']
605,1211,['fear']
606,1212,['worried']
607,1216,['upset']
608,1218,['angry']
609,1219,['uncomfortable']
610,1220,"['bad', 'therapy', 'therapy']"
611,1222,['bad']
612,1224,['ptsd']
613,1225,['bad']
614,1228,"['anxiety', 'anxiety', 'panic']"
615,1229,"['anxiety', 'stressful']"
616,1233,"['doubted', 'uncomfortable']"
617,1235,"['anxiety', 'anxiety', 'depression', 'depression']"
618,1237,['suicidal']
619,1238,['worse']
620,1240,"['angry', 'lost']"
621,1247,"['angry', 'lost']"
622,1248,"['fear', 'panic', 'fear']"
623,1251,"['depression', 'worse']"
624,1252,['fear']
625,1253,['anxiety']
626,1254,['suicidal']
627,1256,"['fear', 'depression', 'ptsd', 'ptsd', 'struggling']"
628,1257,"['unsafe', 'worried']"
629,1259,['wary']
630,1260,"['fear', 'shame', 'shame']"
631,1261,"['angry', 'stressful']"
632,1262,"['anxiety', 'panic', 'ptsd', 'sufferring', 'sufferring']"
633,1265,"['therapy', 'therapy']"
634,1267,"['therapy', 'depression']"
635,1268,"['anxiety', 'depression']"
636,1270,"['doubted', 'stressful', 'stressful', 'upset']"
637,1273,['depression']
638,1275,"['affected', 'fear', 'therapy', 'therapy']"
639,1277,"['depression', 'depression', 'suicidal']"
640,1279,"['doubted', 'doubted', 'lost', 'doubted', 'doubted']"
641,1281,['worse']
642,1283,['fear']
643,1285,['anxiety']
644,1286,"['angry', 'shame']"
645,1288,['angry']
646,1289,"['anxiety', 'lost', 'panic', 'therapy']"
647,1292,"['anxiety', 'depression', 'depression']"
648,1293,['upset']
649,1294,"['depression', 'doubted']"
650,1295,"['doubted', 'doubted', 'doubted', 'doubted']"
651,1296,['anxiety']
652,1297,['fear']
653,1298,['therapy']
654,1299,['shame']
655,1300,['fear']
656,1301,['fear']
657,1302,"['doubted', 'doubted', 'fear', 'fear']"
658,1309,"['anxiety', 'doubted', 'doubted']"
659,1311,"['anxiety', 'disorder']"
660,1315,"['anxiety', 'anxiety', 'depression', 'depression', 'panic', 'ptsd', 'ptsd']"
661,1316,"['anxiety', 'stressful']"
662,1317,"['anxiety', 'fear', 'fear', 'stressful']"
663,1319,"['fear', 'blamed']"
664,1320,['bad']
665,1323,['stressful']
666,1325,"['lonely', 'stressful']"
667,1327,['therapy']
668,1331,"['doubted', 'doubted']"
669,1333,"['depression', 'stressful', 'stressful']"
670,1334,"['anxiety', 'anxiety', 'stressful', 'stressful']"
671,1336,"['bad', 'stressful', 'therapy', 'therapy']"
672,1337,"['anxiety', 'depression']"
673,1342,"['affected', 'angry', 'angry']"
674,1343,"['blamed', 'depression', 'doubted']"
675,1344,['therapy']
676,1346,"['depression', 'depression', 'ptsd']"
677,1347,"['anxiety', 'therapy']"
678,1348,['stressful']
679,1349,"['depression', 'therapy']"
680,1350,"['therapy', 'therapy']"
681,1351,"['lonely', 'unsafe']"
682,1355,['anxiety']
683,1356,"['ptsd', 'ptsd']"
684,1357,['abusive']
685,1358,['upset']
686,1362,"['ptsd', 'ptsd']"
687,1363,"['angry', 'angry', 'doubted', 'doubted', 'shame']"
688,1364,['wary']
689,1366,"['anxiety', 'panic']"
690,1368,['therapy']
691,1370,"['lonely', 'uncomfortable', 'wary']"
692,1374,"['abusive', 'suicidal']"
693,1378,['depression']
694,1380,['panic']
695,1385,"['uncomfortable', 'worse']"
696,1387,['therapy']
697,1389,"['angry', 'angry', 'anxiety']"
698,1390,['upset']
699,1391,['abusive']
700,1392,['doubted']
701,1393,['anxiety']
702,1395,"['angry', 'depression']"
703,1398,['upset']
704,1399,['stressful']
705,1401,['worse']
706,1402,"['anxiety', 'disorder', 'disorder']"
707,1404,['stressful']
708,1406,['depression']
709,1409,['therapy']
710,1414,['therapy']
711,1417,['anxiety']
712,1418,"['anxiety', 'disorder']"
713,1419,['abusive']
714,1420,"['anxiety', 'anxiety', 'stressful']"
715,1421,"['upset', 'upset']"
716,1424,"['struggling', 'struggling']"
717,1425,"['angry', 'fear', 'fear']"
718,1428,['bad']
719,1432,['uncomfortable']
720,1433,"['fear', 'lonely', 'fear']"
721,1434,['wary']
722,1435,"['bad', 'bad']"
723,1437,"['depression', 'lost']"
724,1439,"['angry', 'angry', 'fear', 'fear']"
725,1440,['therapy']
726,1447,['stressful']
727,1448,['worried']
728,1449,"['stressful', 'stressful']"
729,1452,"['anxiety', 'suicidal', 'therapy', 'therapy']"
730,1454,"['anxiety', 'depression']"
731,1461,"['lonely', 'vulnerable']"
732,1463,['abusive']
733,1464,"['stressful', 'stressful']"
734,1466,['anxiety']
